="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Enrolled grade",="=1 if student female",="Age of Student",="Parent",="School Pass Rate"

="SMS Only",="0.000",="0.014",="0.018",="0.012",="-0.001"
="",="(0.034)",="(0.022)",="(0.067)",="(0.014)",="(0.006)"
="",="[0.999]",="[0.531]",="[0.784]",="[0.393]",="[0.859]"
="",="{-0.067 to 0.067}",="{-0.030 to 0.058}",="{-0.113 to 0.150}",="{-0.016 to 0.040}",="{-0.013 to 0.011}"
="Phone + SMS",="0.033",="0.027",="0.016",="0.010",="0.002"
="",="(0.034)",="(0.022)",="(0.064)",="(0.014)",="(0.006)"
="",="[0.336]",="[0.235]",="[0.808]",="[0.497]",="[0.713]"
="",="{-0.034 to 0.101}",="{-0.017 to 0.071}",="{-0.110 to 0.142}",="{-0.018 to 0.038}",="{-0.010 to 0.014}"

="Not Targeted",="0.001",="0.032",="0.001",="0.008",="0.004"
="",="(0.034)",="(0.022)",="(0.064)",="(0.014)",="(0.006)"
="",="[0.970]",="[0.158]",="[0.994]",="[0.585]",="[0.496]"
="",="{-0.066 to 0.069}",="{-0.012 to 0.076}",="{-0.125 to 0.126}",="{-0.020 to 0.036}",="{-0.008 to 0.016}"
="Targeted",="0.032",="0.009",="0.034",="0.014",="-0.003"
="",="(0.034)",="(0.022)",="(0.067)",="(0.014)",="(0.006)"
="",="[0.354]",="[0.688]",="[0.618]",="[0.323]",="[0.643]"
="",="{-0.035 to 0.098}",="{-0.035 to 0.053}",="{-0.098 to 0.166}",="{-0.014 to 0.042}",="{-0.015 to 0.009}"
="Control Mean",="4.030",="0.505",="9.680",="0.807",="0.796"
="Observations",="3014",="2987",="3008",="4523",="2394"
="p-val: SMS = Phone",="0.338",="0.571",="0.967",="0.862",="0.585"
="p-val: Targeted = Not Targeted",="0.381",="0.312",="0.619",="0.657",="0.251"
